source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
S01,Earnings transcript,Q4 FY26 Earnings Call S&P Global MI,FY26/Q4 FY26,"pp. 3-14",2026-05-08,3,"Key executives; financial outcomes; strategy targets; promise-vs-delivery; comp structure context; KPI consistency"
S02,Earnings transcript,Q4 FY25 Earnings Call S&P Global MI,FY25/Q4 FY25,"pp. 3-6",2025-05-07,3,"Prior period PAT; combined ratio; EOM; solvency ratio; team composition; prior promises"
S03,Earnings transcript,Q3 FY25 Earnings Call S&P Global MI,"9M FY25/Q3 FY25","pp. 3-5",2025-02-04,3,"Management team; 1/N accounting transition; worst EPS miss quarter; tone assessment"
S04,Earnings transcript,Q2 FY25 Earnings Call S&P Global MI,H1 FY25,"pp. 3-6",2024-11-25,3,"First post-IPO call; strategy pillars; IPO context; KPI set established"
S05,Earnings transcript,Q1 FY26 Earnings Call S&P Global MI,Q1 FY26,"pp. 3-6",2025-07-31,3,"Claims auto-adjudication suspension; EOM glide path; reserve build-up; IRDAI cybersecurity"
S06,Earnings transcript,Q2 FY26 Earnings Call S&P Global MI,Q2 FY26,"pp. 4-5",2025-11-03,3,"KPI consistency check; claims recovery post-suspension"
S-C06,Earnings transcript,Q3 FY26 Earnings Call S&P Global MI,9M FY26,"pp. 4-8",2026-01-29,3,"100% FDI Insurance Amendment; Labour Code one-off; IFRS PAT 9M"
S-A01,Capital IQ vendor export,Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Financials.xls,FY22-FY26,"Income Statement; Cash Flow; Balance Sheet; Key Stats tabs",2026-03-31,3,"CFO; capex; FCF; net debt; EPS; PAT — annual figures; capital allocation scorecard"
S-A02,Capital IQ vendor export,NivaBupaHealthInsuranceCompanyLimitedNSEINIVABUPAEstimatesReport.xls,FY25-FY28,"Surprise tab; annual EPS actual",2026-05-11,4,"EPS normalized; revenue vs consensus; beat/miss pattern"
S01-comp,Capital IQ vendor export,Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Compensation Summary Compensation.rtf,FY2022-FY2025,"Summary Compensation table; Salary and Bonus sub-rows",2026-06-04,3,"CEO base; bonus; and total cash comp; CFO total comp; compensation trajectory"
S04-01,Vendor data S&P Global MI,Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Public Ownership Summary.rtf,As of Jun-03-2026,"Ownership Summary table; Institutional Ownership Details; Top Holders; Ownership Activity",2026-06-04,3,"Ownership percentages; insider transactions; institutional trend; control structure"
S04-02,Vendor data S&P Global MI,Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Private Ownership.rtf,Various historical transaction dates,"Private investors table",2026-06-04,3,"Promoter background; pre-IPO investor history; Temasek"
S-B01,Board disclosure vendor,Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Board Members.rtf,Current (~Jun 2026),"Full extract",2026-06-01,3,"Board composition; director names; roles; committee membership; background; other-board affiliations"
S-B02,Professionals disclosure vendor,Niva Bupa Health Insurance Company Limited NSEI NIVABUPA Professionals.rtf,Current (~Jun 2026),"Full extract",2026-06-01,3,"Management structure; Company Secretary background (ESOP; IPO); CRO background"
S07,Cross-module filing,analyses/NIVABUPA_2026-06-22/business-model/01_disqualifier-scan.md,FY26,All sections,2026-06-22,4,"Disqualifier status; integrity signal routing; data gaps; no hard disqualifier"
S08,Cross-module filing,analyses/NIVABUPA_2026-06-22/business-model/02_business-identity.md,FY26,All sections,2026-06-22,4,"Ownership structure; control context; promoter identity; IRDAI sector classification"
S09,Cross-module filing,analyses/NIVABUPA_2026-06-22/business-model/11_capital-allocation-governance.md,FY26,All sections,2026-06-22,4,"Management stability signal; related-party data gap; governance classification; capital allocation quick-read"
S10,Cross-module filing,analyses/NIVABUPA_2026-06-22/business-model/12_red-flags-sweep.md,FY26,All sections,2026-06-22,4,"Cybersecurity event; earnings miss pattern; absent filing data cap; severity 65/100"
S11,Cross-module filing,analyses/NIVABUPA_2026-06-22/earnings/04_guidance-consensus.md,FY26,All sections,2026-06-22,4,"GWP guidance vs street; EPS actual vs consensus; beat/miss pattern"
S-C08,Cross-module filing,analyses/NIVABUPA_2026-06-22/earnings/06_earnings-quality.md,FY22-FY26,All sections,2026-06-22,4,"Non-GAAP aggressiveness cross-check; FY25 CFO spike; accrual quality; dual-basis reporting"
S12,Web source unverified,AngelOne/MarketScreener re CEO re-appointment,2025,Online articles,2025,2,"CEO re-appointment date; IRDAI approval; duration through April 2030"
S13,Web source unverified,BSE LODR filing re CFO appointment as Whole Time Director,2025,BSE filing,2025-05-07,2,"CFO Mahendra appointment as Executive Director; tenure through May 2030"
S08-web,Web source unverified,StockLens Krishnan Ramachandran CEO profile,FY2025,CEO profile page,2026-06,2,"CEO total comp 11.61 cr FY25; bonus share 70.4%; CEO/median employee pay ratio 77x; 1.115 cr shares held"
S09-web,Web source unverified,Whalesbook corporate news Niva Bupa postal ballot,Mar 2026,Corporate news article,2026-03,2,"Say-on-pay vote 99.99% in favour; postal ballot voting results"
S10-web,Web source unverified,AngelOne/InvestyWise/ScanX IRDAI Show Cause Notice coverage,Feb 2026,News articles,2026-02-26,2,"IRDAI SCN following Feb 2025 inspection; health insurance business; policyholder protection; and corporate governance violations"
S12-web,Web source unverified,InvestyWise/ScanX Niva Bupa ESOP announcement,May 2026,News articles,2026-05-08,2,"ESOP 2024 grant: 12251268 options at 72.45/option; time-based; no performance conditions disclosed"
